Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;600;ns;20
Vloz na zaklade kluca;600;ns;21
Odstran na zaklade kluca;600;ns;22
Odstran na zaklade kluca;600;ns;21
Vloz na zaklade kluca;700;ns;20
Odstran na zaklade kluca;600;ns;21
Vloz na zaklade kluca;700;ns;20
Vloz na zaklade kluca;800;ns;21
Odstran na zaklade kluca;800;ns;22
Vloz na zaklade kluca;600;ns;21
Vloz na zaklade kluca;700;ns;22
Vloz na zaklade kluca;600;ns;23
Odstran na zaklade kluca;600;ns;24
Odstran na zaklade kluca;600;ns;23
Vloz na zaklade kluca;600;ns;22
Vloz na zaklade kluca;700;ns;23
Odstran na zaklade kluca;700;ns;24
Odstran na zaklade kluca;600;ns;23
Vloz na zaklade kluca;600;ns;22
Odstran na zaklade kluca;700;ns;23
Vloz na zaklade kluca;700;ns;22
Odstran na zaklade kluca;700;ns;23
Odstran na zaklade kluca;600;ns;22
Vloz na zaklade kluca;700;ns;21
Vloz na zaklade kluca;800;ns;22
Vloz na zaklade kluca;700;ns;23
Odstran na zaklade kluca;700;ns;24
Odstran na zaklade kluca;1100;ns;23
Vloz na zaklade kluca;800;ns;22
Vloz na zaklade kluca;600;ns;23
Vloz na zaklade kluca;600;ns;24
Vloz na zaklade kluca;700;ns;25
Vloz na zaklade kluca;800;ns;26
Odstran na zaklade kluca;800;ns;27
Odstran na zaklade kluca;600;ns;26
Odstran na zaklade kluca;600;ns;25
Vloz na zaklade kluca;700;ns;24
Spristupni na zaklade kluca;500;ns;25
Vloz na zaklade kluca;2300;ns;25
Vloz na zaklade kluca;700;ns;26
Odstran na zaklade kluca;600;ns;27
Odstran na zaklade kluca;600;ns;26
Vloz na zaklade kluca;700;ns;25
Vloz na zaklade kluca;800;ns;26
Vloz na zaklade kluca;600;ns;27
Odstran na zaklade kluca;600;ns;28
Spristupni na zaklade kluca;500;ns;27
Vloz na zaklade kluca;600;ns;27
Odstran na zaklade kluca;600;ns;28
Vloz na zaklade kluca;600;ns;27
Vloz na zaklade kluca;700;ns;28
Odstran na zaklade kluca;600;ns;29
Vloz na zaklade kluca;700;ns;28
Odstran na zaklade kluca;800;ns;29
Vloz na zaklade kluca;700;ns;28
Odstran na zaklade kluca;800;ns;29
Odstran na zaklade kluca;700;ns;28
Odstran na zaklade kluca;700;ns;27
Vloz na zaklade kluca;600;ns;26
Spristupni na zaklade kluca;500;ns;27
Spristupni na zaklade kluca;400;ns;27
Odstran na zaklade kluca;600;ns;27
Vloz na zaklade kluca;600;ns;26
Odstran na zaklade kluca;600;ns;27
Vloz na zaklade kluca;700;ns;26
Vloz na zaklade kluca;700;ns;27
Vloz na zaklade kluca;700;ns;28
Odstran na zaklade kluca;600;ns;29
Odstran na zaklade kluca;700;ns;28
Odstran na zaklade kluca;700;ns;27
Odstran na zaklade kluca;600;ns;26
Odstran na zaklade kluca;600;ns;25
Odstran na zaklade kluca;600;ns;24
Vloz na zaklade kluca;700;ns;23
Vloz na zaklade kluca;700;ns;24
Vloz na zaklade kluca;600;ns;25
Odstran na zaklade kluca;600;ns;26
