Operacia;Cas;;Pocet prvkov
Spristupni na zaklade kluca;1177000;ns;129
Odstran na zaklade kluca;1005300;ns;129
Odstran na zaklade kluca;1038700;ns;128
Vloz na zaklade kluca;1043600;ns;127
Vloz na zaklade kluca;977600;ns;128
Spristupni na zaklade kluca;986400;ns;129
Vloz na zaklade kluca;1049100;ns;129
Spristupni na zaklade kluca;1137400;ns;130
Spristupni na zaklade kluca;1163600;ns;130
Spristupni na zaklade kluca;1034000;ns;130
Spristupni na zaklade kluca;1541900;ns;130
Spristupni na zaklade kluca;1223000;ns;130
Vloz na zaklade kluca;1090600;ns;130
Spristupni na zaklade kluca;1003600;ns;131
Vloz na zaklade kluca;1608900;ns;131
Vloz na zaklade kluca;2548600;ns;132
Spristupni na zaklade kluca;3017400;ns;133
Odstran na zaklade kluca;3063600;ns;133
Odstran na zaklade kluca;1374700;ns;132
Vloz na zaklade kluca;1180700;ns;131
Spristupni na zaklade kluca;1133200;ns;132
Spristupni na zaklade kluca;1136400;ns;132
Vloz na zaklade kluca;2079700;ns;132
Spristupni na zaklade kluca;2229200;ns;133
Spristupni na zaklade kluca;2018400;ns;133
Spristupni na zaklade kluca;2564600;ns;133
Spristupni na zaklade kluca;2383100;ns;133
Vloz na zaklade kluca;1462400;ns;133
Spristupni na zaklade kluca;1473600;ns;134
Spristupni na zaklade kluca;1141200;ns;134
Vloz na zaklade kluca;1216400;ns;134
Spristupni na zaklade kluca;1020800;ns;135
Spristupni na zaklade kluca;1096800;ns;135
Spristupni na zaklade kluca;1026000;ns;135
Spristupni na zaklade kluca;1137100;ns;135
Vloz na zaklade kluca;1070400;ns;135
Odstran na zaklade kluca;1053300;ns;136
Vloz na zaklade kluca;1332300;ns;135
Spristupni na zaklade kluca;1169600;ns;136
Vloz na zaklade kluca;1114100;ns;136
Vloz na zaklade kluca;1088700;ns;137
Spristupni na zaklade kluca;1149300;ns;138
Odstran na zaklade kluca;1157300;ns;138
Vloz na zaklade kluca;1048600;ns;137
Odstran na zaklade kluca;1068800;ns;138
Spristupni na zaklade kluca;1180800;ns;137
Vloz na zaklade kluca;1387600;ns;137
Spristupni na zaklade kluca;1281000;ns;138
Vloz na zaklade kluca;1610300;ns;138
Spristupni na zaklade kluca;1833500;ns;139
Vloz na zaklade kluca;1234700;ns;139
Spristupni na zaklade kluca;1204100;ns;140
Spristupni na zaklade kluca;2060100;ns;140
Spristupni na zaklade kluca;1953500;ns;140
Spristupni na zaklade kluca;1597600;ns;140
Spristupni na zaklade kluca;1343900;ns;140
Vloz na zaklade kluca;1519400;ns;140
Vloz na zaklade kluca;1597100;ns;141
Spristupni na zaklade kluca;1296100;ns;142
Vloz na zaklade kluca;1090600;ns;142
