Operacia;Cas;;Pocet prvkov
Vloz na zaklade kluca;1400;ns;52
Vloz na zaklade kluca;1300;ns;53
Odstran na zaklade kluca;4500;ns;54
Vloz na zaklade kluca;1300;ns;53
Odstran na zaklade kluca;4400;ns;54
Odstran na zaklade kluca;4400;ns;53
Vloz na zaklade kluca;1400;ns;52
Odstran na zaklade kluca;4400;ns;53
Odstran na zaklade kluca;4400;ns;52
Vloz na zaklade kluca;1400;ns;51
Vloz na zaklade kluca;1300;ns;52
Odstran na zaklade kluca;4400;ns;53
Vloz na zaklade kluca;1400;ns;52
Odstran na zaklade kluca;4500;ns;53
Odstran na zaklade kluca;4400;ns;52
Vloz na zaklade kluca;1400;ns;51
Odstran na zaklade kluca;4400;ns;52
Vloz na zaklade kluca;1300;ns;51
Vloz na zaklade kluca;1400;ns;52
Odstran na zaklade kluca;4400;ns;53
Odstran na zaklade kluca;4400;ns;52
Vloz na zaklade kluca;1400;ns;51
Vloz na zaklade kluca;1300;ns;52
Vloz na zaklade kluca;1400;ns;53
Vloz na zaklade kluca;1400;ns;54
Odstran na zaklade kluca;4600;ns;55
Odstran na zaklade kluca;4400;ns;54
Vloz na zaklade kluca;1400;ns;53
Odstran na zaklade kluca;4500;ns;54
Odstran na zaklade kluca;4400;ns;53
Odstran na zaklade kluca;4300;ns;52
Vloz na zaklade kluca;1300;ns;51
Vloz na zaklade kluca;1400;ns;52
Odstran na zaklade kluca;4600;ns;53
Vloz na zaklade kluca;1500;ns;52
Vloz na zaklade kluca;1400;ns;53
Vloz na zaklade kluca;1400;ns;54
Spristupni na zaklade kluca;1100;ns;55
Vloz na zaklade kluca;1300;ns;55
Vloz na zaklade kluca;1400;ns;56
Spristupni na zaklade kluca;1100;ns;57
Vloz na zaklade kluca;1400;ns;57
Vloz na zaklade kluca;1300;ns;58
Vloz na zaklade kluca;1300;ns;59
Vloz na zaklade kluca;1400;ns;60
Odstran na zaklade kluca;4900;ns;61
Vloz na zaklade kluca;1400;ns;60
Vloz na zaklade kluca;1400;ns;61
Vloz na zaklade kluca;1300;ns;62
Vloz na zaklade kluca;1500;ns;63
Vloz na zaklade kluca;3900;ns;64
Vloz na zaklade kluca;1500;ns;65
Odstran na zaklade kluca;5300;ns;66
Spristupni na zaklade kluca;1200;ns;65
Odstran na zaklade kluca;5200;ns;65
Vloz na zaklade kluca;1500;ns;64
Vloz na zaklade kluca;1500;ns;65
Vloz na zaklade kluca;1500;ns;66
Spristupni na zaklade kluca;1200;ns;67
Vloz na zaklade kluca;1500;ns;67
Odstran na zaklade kluca;5500;ns;68
Vloz na zaklade kluca;1500;ns;67
Vloz na zaklade kluca;1500;ns;68
Vloz na zaklade kluca;1500;ns;69
Vloz na zaklade kluca;1500;ns;70
Vloz na zaklade kluca;1500;ns;71
Vloz na zaklade kluca;1500;ns;72
Odstran na zaklade kluca;5700;ns;73
Odstran na zaklade kluca;5600;ns;72
Odstran na zaklade kluca;5600;ns;71
Vloz na zaklade kluca;1500;ns;70
Vloz na zaklade kluca;1500;ns;71
Odstran na zaklade kluca;5600;ns;72
Vloz na zaklade kluca;1500;ns;71
Odstran na zaklade kluca;5700;ns;72
Odstran na zaklade kluca;5600;ns;71
Vloz na zaklade kluca;1500;ns;70
Odstran na zaklade kluca;5600;ns;71
Vloz na zaklade kluca;1500;ns;70
Vloz na zaklade kluca;1500;ns;71
Odstran na zaklade kluca;5600;ns;72
Odstran na zaklade kluca;5700;ns;71
Vloz na zaklade kluca;1600;ns;70
Vloz na zaklade kluca;1500;ns;71
Spristupni na zaklade kluca;1200;ns;72
Vloz na zaklade kluca;1600;ns;72
Odstran na zaklade kluca;5800;ns;73
Odstran na zaklade kluca;5600;ns;72
Spristupni na zaklade kluca;1300;ns;71
Odstran na zaklade kluca;5600;ns;71
Vloz na zaklade kluca;1500;ns;70
Vloz na zaklade kluca;1500;ns;71
Odstran na zaklade kluca;5600;ns;72
Vloz na zaklade kluca;1500;ns;71
Vloz na zaklade kluca;1500;ns;72
Odstran na zaklade kluca;5800;ns;73
Vloz na zaklade kluca;1500;ns;72
Spristupni na zaklade kluca;1300;ns;73
Vloz na zaklade kluca;1500;ns;73
Spristupni na zaklade kluca;1200;ns;74
Vloz na zaklade kluca;1600;ns;74
Spristupni na zaklade kluca;1200;ns;75
Odstran na zaklade kluca;5900;ns;75
Vloz na zaklade kluca;1500;ns;74
Vloz na zaklade kluca;1500;ns;75
Vloz na zaklade kluca;1500;ns;76
Vloz na zaklade kluca;1500;ns;77
Spristupni na zaklade kluca;1200;ns;78
Spristupni na zaklade kluca;1200;ns;78
Odstran na zaklade kluca;6000;ns;78
Spristupni na zaklade kluca;1200;ns;77
Odstran na zaklade kluca;5900;ns;77
Odstran na zaklade kluca;5800;ns;76
Vloz na zaklade kluca;1500;ns;75
Odstran na zaklade kluca;5900;ns;76
Spristupni na zaklade kluca;1200;ns;75
Spristupni na zaklade kluca;1300;ns;75
Vloz na zaklade kluca;1500;ns;75
Odstran na zaklade kluca;5900;ns;76
Spristupni na zaklade kluca;1200;ns;75
Odstran na zaklade kluca;5800;ns;75
Vloz na zaklade kluca;1500;ns;74
Odstran na zaklade kluca;5900;ns;75
Odstran na zaklade kluca;5700;ns;74
Spristupni na zaklade kluca;1200;ns;73
Vloz na zaklade kluca;1500;ns;73
Vloz na zaklade kluca;1500;ns;74
Odstran na zaklade kluca;5800;ns;75
Spristupni na zaklade kluca;1200;ns;74
Vloz na zaklade kluca;1500;ns;74
Vloz na zaklade kluca;1400;ns;75
Vloz na zaklade kluca;1500;ns;76
Vloz na zaklade kluca;1500;ns;77
Vloz na zaklade kluca;1500;ns;78
Vloz na zaklade kluca;1500;ns;79
Vloz na zaklade kluca;1500;ns;80
Odstran na zaklade kluca;6200;ns;81
Odstran na zaklade kluca;6100;ns;80
Vloz na zaklade kluca;1500;ns;79
Spristupni na zaklade kluca;1200;ns;80
Spristupni na zaklade kluca;1300;ns;80
Odstran na zaklade kluca;6100;ns;80
Odstran na zaklade kluca;6000;ns;79
Vloz na zaklade kluca;1500;ns;78
Odstran na zaklade kluca;6100;ns;79
Vloz na zaklade kluca;1500;ns;78
Odstran na zaklade kluca;6000;ns;79
Odstran na zaklade kluca;6000;ns;78
Vloz na zaklade kluca;1500;ns;77
Odstran na zaklade kluca;6000;ns;78
Odstran na zaklade kluca;6200;ns;77
Odstran na zaklade kluca;5800;ns;76
Spristupni na zaklade kluca;1300;ns;75
Vloz na zaklade kluca;1700;ns;75
Odstran na zaklade kluca;5900;ns;76
Odstran na zaklade kluca;5800;ns;75
Vloz na zaklade kluca;1600;ns;74
Odstran na zaklade kluca;5800;ns;75
Odstran na zaklade kluca;5700;ns;74
Vloz na zaklade kluca;1500;ns;73
Spristupni na zaklade kluca;1200;ns;74
Vloz na zaklade kluca;1500;ns;74
Odstran na zaklade kluca;5900;ns;75
Odstran na zaklade kluca;5800;ns;74
Spristupni na zaklade kluca;1200;ns;73
Odstran na zaklade kluca;5800;ns;73
Vloz na zaklade kluca;1500;ns;72
Vloz na zaklade kluca;1500;ns;73
Vloz na zaklade kluca;1500;ns;74
Vloz na zaklade kluca;1500;ns;75
Vloz na zaklade kluca;1500;ns;76
Vloz na zaklade kluca;1400;ns;77
Vloz na zaklade kluca;1500;ns;78
Spristupni na zaklade kluca;1200;ns;79
Odstran na zaklade kluca;6000;ns;79
Vloz na zaklade kluca;1500;ns;78
Odstran na zaklade kluca;6000;ns;79
Vloz na zaklade kluca;1500;ns;78
Vloz na zaklade kluca;1500;ns;79
Odstran na zaklade kluca;6000;ns;80
Odstran na zaklade kluca;6100;ns;79
Spristupni na zaklade kluca;1200;ns;78
Odstran na zaklade kluca;6000;ns;78
Spristupni na zaklade kluca;1200;ns;77
Vloz na zaklade kluca;1500;ns;77
Odstran na zaklade kluca;6100;ns;78
Vloz na zaklade kluca;1600;ns;77
Odstran na zaklade kluca;6000;ns;78
Vloz na zaklade kluca;1500;ns;77
Vloz na zaklade kluca;1500;ns;78
Vloz na zaklade kluca;1500;ns;79
Vloz na zaklade kluca;1500;ns;80
